date,rmssd
2023-12-24,33
2023-12-25,44
2023-12-26,36
2023-12-27,40
2023-12-28,36
2023-12-29,40
2023-12-30,43
2023-12-31,44
2024-01-01,35
2024-01-02,40
2024-01-03,41
2024-01-04,47
2024-01-05,44
2024-01-06,46
2024-01-07,44
2024-01-08,41
2024-01-09,48
2024-01-10,48
2024-01-11,45
2024-01-12,48
2024-01-13,49
2024-01-14,45
2024-01-15,52
2024-01-16,48
2024-01-17,52
2024-01-18,46
2024-01-19,50
2024-01-20,49
2024-01-21,49
2024-01-22,49
2024-01-23,49
2024-01-24,47
2024-01-25,49
2024-01-26,45
2024-01-27,50
2024-01-28,50
2024-01-29,49
2024-01-30,53
2024-01-31,43
2024-02-01,42
2024-02-02,45
2024-02-03,42
2024-02-04,45
2024-02-05,51
2024-02-06,48
2024-02-07,43
2024-02-08,43
2024-02-09,39
2024-02-10,35
2024-02-11,47
2024-02-12,39
2024-02-13,48
2024-02-14,45
2024-02-15,39
2024-02-16,47
2024-02-17,41
2024-02-18,47
2024-02-19,45
2024-02-20,41
2024-02-21,42
2024-02-22,45
2024-02-23,41
2024-02-24,43
2024-02-25,43
2024-02-26,43
2024-02-27,43
2024-02-28,43
2024-02-29,43
2024-03-01,42
2024-03-02,42
2024-03-03,42
2024-03-04,40
2024-03-05,34
2024-03-06,41
2024-03-07,36
2024-03-08,38
2024-03-09,39
2024-03-10,39
2024-03-11,39
2024-03-12,29
2024-03-13,31
2024-03-14,31
2024-03-15,37
2024-03-16,41
2024-03-17,41
2024-03-18,37
2024-03-19,38
2024-03-20,45
2024-03-21,36
2024-03-22,34
2024-03-23,42
2024-03-24,41
2024-03-25,41
2024-03-26,43
2024-03-27,40
2024-03-28,42
2024-03-29,49
2024-03-30,53
2024-03-31,44
2024-04-01,44
2024-04-02,44
2024-04-03,53
2024-04-04,50
2024-04-05,56
2024-04-06,53
2024-04-07,52
2024-04-08,47
2024-04-09,45
2024-04-10,50
2024-04-11,44
2024-04-12,49
2024-04-13,50
2024-04-14,49
2024-04-15,40
2024-04-16,50
2024-04-17,45
2024-04-18,43
2024-04-19,50
2024-04-20,51
2024-04-21,56
2024-04-22,41
2024-04-23,35
2024-04-24,38
2024-04-25,44
2024-04-26,43
2024-04-27,51
2024-04-28,54
2024-04-29,44
2024-04-30,53
2024-05-01,51
2024-05-02,50
2024-05-03,46
2024-05-04,45
2024-05-05,50
2024-05-06,44
2024-05-07,38
2024-05-08,39
2024-05-09,45
2024-05-10,44
2024-05-11,42
2024-05-12,45
2024-05-13,33
2024-05-14,44
2024-05-15,50
2024-05-16,44
2024-05-17,50
2024-05-18,43
2024-05-19,43
2024-05-20,46
2024-05-21,49
2024-05-22,50
2024-05-23,50
2024-05-24,54
2024-05-25,49
2024-05-26,57
2024-05-27,52
2024-05-28,52
2024-05-29,52
2024-05-30,52
2024-05-31,43
2024-06-01,54
2024-06-02,46
2024-06-03,58
2024-06-04,52
2024-06-05,53
2024-06-06,51
2024-06-07,48
2024-06-08,45
2024-06-09,50
2024-06-10,43
2024-06-11,44
2024-06-12,46
2024-06-13,43
2024-06-14,51
2024-06-15,52
2024-06-16,51
2024-06-17,48
2024-06-18,48
2024-06-19,44
2024-06-20,49
2024-06-21,53
2024-06-22,44
2024-06-23,48
2024-06-24,48
2024-06-25,52
2024-06-26,51
2024-06-27,55
2024-06-28,46
2024-06-29,53
2024-06-30,51
2024-07-01,59
2024-07-02,49
2024-07-03,52
2024-07-04,58
2024-07-05,47
2024-07-06,57
2024-07-07,52
2024-07-08,50
2024-07-09,51
2024-07-10,49
2024-07-11,47
2024-07-12,57
2024-07-14,57
2024-07-15,52
2024-07-16,56
