date,rmssd
2024-04-01,44
2024-04-02,44
2024-04-03,53
2024-04-04,50
2024-04-05,56
2024-04-06,53
2024-04-07,52
2024-04-08,47
2024-04-09,45
2024-04-10,50
2024-04-11,44
2024-04-12,49
2024-04-13,50
2024-04-14,49
2024-04-15,40
2024-04-16,50
2024-04-17,45
2024-04-18,43
2024-04-19,50
2024-04-20,51
2024-04-21,56
2024-04-22,41
2024-04-23,35
2024-04-24,38
2024-04-25,44
2024-04-26,43
2024-04-27,51
2024-04-28,54
2024-04-29,44
2024-04-30,53
2024-05-01,51
2024-05-02,50
2024-05-03,46
2024-05-04,45
2024-05-05,50
2024-05-06,44
2024-05-07,38
2024-05-08,39
2024-05-09,45
2024-05-10,44
2024-05-11,42
2024-05-12,45
2024-05-13,33
2024-05-14,44
2024-05-15,50
2024-05-16,44
2024-05-17,50
2024-05-18,43
2024-05-19,43
2024-05-20,46
2024-05-21,49
2024-05-22,50
2024-05-23,50
2024-05-24,54
2024-05-25,49
2024-05-26,57
2024-05-27,52
2024-05-28,52
2024-05-29,52
2024-05-30,52
2024-05-31,43
2024-06-01,54
